Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
5/11/2020,20105,57,409
5/11/2020,20106,21,83
5/11/2020,20109,469,"1,142"
5/11/2020,20110,491,"1,291"
5/11/2020,20111,354,929
5/11/2020,20112,88,537
5/11/2020,20115,17,101
5/11/2020,20117,7,43
5/11/2020,20118,Suppressed*,42
5/11/2020,20119,11,74
5/11/2020,20120,120,715
5/11/2020,20121,83,433
5/11/2020,20124,28,247
5/11/2020,20129,7,26
5/11/2020,20130,0,8
5/11/2020,20132,20,248
5/11/2020,20135,5,48
5/11/2020,20136,78,491
5/11/2020,20137,Suppressed*,19
5/11/2020,20139,Suppressed*,5
5/11/2020,20141,7,100
5/11/2020,20143,0,21
5/11/2020,20144,Suppressed*,12
5/11/2020,20147,179,"1,013"
5/11/2020,20148,78,648
5/11/2020,20151,90,357
5/11/2020,20152,59,388
5/11/2020,20155,115,663
5/11/2020,20158,6,60
5/11/2020,20164,329,943
5/11/2020,20165,116,616
5/11/2020,20166,56,268
5/11/2020,20169,43,408
5/11/2020,20170,308,925
5/11/2020,20171,161,655
5/11/2020,20175,60,552
5/11/2020,20176,171,893
5/11/2020,20180,6,119
5/11/2020,20181,20,161
5/11/2020,20184,Suppressed*,28
5/11/2020,20186,36,324
5/11/2020,20187,35,296
5/11/2020,20190,105,462
5/11/2020,20191,140,610
5/11/2020,20194,17,186
5/11/2020,20197,Suppressed*,49
5/11/2020,20198,Suppressed*,34
5/11/2020,22003,547,"1,565"
5/11/2020,22015,221,839
5/11/2020,22025,57,350
5/11/2020,22026,91,428
5/11/2020,22027,39,67
5/11/2020,22030,143,969
5/11/2020,22031,173,738
5/11/2020,22032,83,495
5/11/2020,22033,113,654
5/11/2020,22035,0,4
5/11/2020,22039,39,292
5/11/2020,22041,374,866
5/11/2020,22042,309,986
5/11/2020,22043,118,480
5/11/2020,22044,130,373
5/11/2020,22046,94,409
5/11/2020,22060,11,76
5/11/2020,22066,34,385
5/11/2020,22079,157,758
5/11/2020,22101,78,759
5/11/2020,22102,71,599
5/11/2020,22124,30,283
5/11/2020,22125,0,12
5/11/2020,22134,13,45
5/11/2020,22150,415,"1,012"
5/11/2020,22151,145,467
5/11/2020,22152,108,522
5/11/2020,22153,95,526
5/11/2020,22172,72,241
5/11/2020,22180,76,489
5/11/2020,22181,26,246
5/11/2020,22182,59,472
5/11/2020,22191,679,"2,265"
5/11/2020,22192,284,"1,471"
5/11/2020,22193,609,"2,132"
5/11/2020,22201,133,860
5/11/2020,22202,110,566
5/11/2020,22203,178,559
5/11/2020,22204,542,"1,602"
5/11/2020,22205,80,451
5/11/2020,22206,101,496
5/11/2020,22207,183,875
5/11/2020,22209,47,310
5/11/2020,22211,Suppressed*,10
5/11/2020,22213,10,67
5/11/2020,22214,0,2
5/11/2020,22301,41,343
5/11/2020,22302,114,457
5/11/2020,22303,84,423
5/11/2020,22304,352,"1,383"
5/11/2020,22305,370,706
5/11/2020,22306,401,"1,047"
5/11/2020,22307,40,258
5/11/2020,22308,26,185
5/11/2020,22309,311,882
5/11/2020,22310,166,667
5/11/2020,22311,219,636
5/11/2020,22312,250,813
5/11/2020,22314,123,830
5/11/2020,22315,60,471
5/11/2020,22401,58,508
5/11/2020,22405,52,537
5/11/2020,22406,44,414
5/11/2020,22407,150,"1,044"
5/11/2020,22408,51,501
5/11/2020,22427,Suppressed*,49
5/11/2020,22432,0,13
5/11/2020,22433,Suppressed*,4
5/11/2020,22435,Suppressed*,45
5/11/2020,22436,0,9
5/11/2020,22437,Suppressed*,16
5/11/2020,22438,Suppressed*,3
5/11/2020,22443,10,108
5/11/2020,22448,Suppressed*,10
5/11/2020,22454,Suppressed*,18
5/11/2020,22460,Suppressed*,18
5/11/2020,22469,Suppressed*,32
5/11/2020,22473,Suppressed*,79
5/11/2020,22476,Suppressed*,3
5/11/2020,22480,0,20
5/11/2020,22482,Suppressed*,63
5/11/2020,22485,41,445
5/11/2020,22488,Suppressed*,17
5/11/2020,22503,Suppressed*,87
5/11/2020,22504,0,2
5/11/2020,22508,20,205
5/11/2020,22511,Suppressed*,12
5/11/2020,22514,Suppressed*,25
5/11/2020,22520,25,102
5/11/2020,22529,0,5
5/11/2020,22530,0,1
5/11/2020,22534,0,30
5/11/2020,22535,0,9
5/11/2020,22538,0,8
5/11/2020,22539,Suppressed*,47
5/11/2020,22542,0,22
5/11/2020,22546,24,206
5/11/2020,22548,0,3
5/11/2020,22551,45,328
5/11/2020,22553,14,246
5/11/2020,22554,191,"1,118"
5/11/2020,22556,96,549
5/11/2020,22560,19,132
5/11/2020,22567,Suppressed*,63
5/11/2020,22572,180,359
5/11/2020,22576,0,30
5/11/2020,22578,0,39
5/11/2020,22579,0,3
5/11/2020,22580,5,85
5/11/2020,22601,71,185
5/11/2020,22602,67,179
5/11/2020,22603,29,84
5/11/2020,22610,8,11
5/11/2020,22611,9,72
5/11/2020,22620,Suppressed*,12
5/11/2020,22623,Suppressed*,0
5/11/2020,22624,Suppressed*,12
5/11/2020,22625,Suppressed*,12
