NB Code,Neighborhood Name,Population (2018 ACS),Population living below poverty line,% below poverty line,Population age 65+,% 65+,"Total cases 
May 10","Cases per 1000 
May 10","Total cases 
May 9","Cases per 1000 
May 9","Total cases 
May 8","Cases per 1000 
May 8","Total cases 
May 7","Cases per 1000 
May 7"
N1,16th ST HEIGHTS,"20,131","2,392",11.9,"2,760",13.7,327,16.2,318,15.8,311,15.4,292,14.5
N10,CATHEDRAL HEIGHTS,"19,081","3,025",15.9,"2,693",14.1,56,2.9,55,2.9,54,2.8,54,2.8
N11,CHEVY CHASE,"6,991",391,5.6,"1,472",21.1,34,4.9,33,4.7,32,4.6,32,4.6
N12,CHINATOWN,"20,482","3,814",18.6,"1,983",9.7,261,12.7,259,12.6,256,12.5,258,12.6
N13,COLUMBIA HEIGHTS,"26,361","4,471",17,"1,850",7,354,13.4,347,13.2,335,12.7,312,11.8
N14,CONGRESS HEIGHTS/SHIPLEY,"9,977","3,227",32.3,"1,114",11.2,137,13.7,135,13.5,134,13.4,125,12.5
N15,DC MEDICAL CENTER,"1,670",264,15.8,556,33.3,15,9,15,9,15,9,15,9
N16,DOUGLASS,"11,129","3,408",30.6,792,7.1,109,9.8,106,9.5,98,8.8,96,8.6
N17,EASTLAND GARDENS,"10,448","3,477",33.3,977,9.4,119,11.4,118,11.3,114,10.9,110,10.5
N18,EDGEWOOD,"8,912","2,005",22.5,824,9.2,118,13.2,118,13.2,117,13.1,112,12.6
N19,FOREST HILLS,"11,756",956,8.1,"2,142",18.2,36,3.1,37,3.1,36,3.1,35,3
N2,ADAMS MORGAN,"23,753","1,037",4.4,"2,220",9.3,103,4.3,102,4.3,99,4.2,97,4.1
N20,FORT DUPONT,"16,120","4,359",27,"2,063",12.8,147,9.1,146,9.1,142,8.8,137,8.5
N21,FORT LINCOLN/GATEWAY,"9,251","1,338",14.5,"2,180",23.6,181,19.6,177,19.1,177,19.1,173,18.7
N22,GEORGETOWN,"8,358",599,7.2,867,10.4,13,1.6,13,1.6,13,1.6,13,1.6
N23,GEORGETOWN EAST,"14,602","1,528",10.5,"2,353",16.1,67,4.6,65,4.5,64,4.4,63,4.3
N24,GWU,"14,536","2,000",13.8,"1,439",9.9,63,4.3,62,4.3,61,4.2,61,4.2
N25,HILL EAST,"10,819","1,750",16.2,822,7.6,47,4.3,46,4.3,44,4.1,43,4
N26,HISTORIC ANACOSTIA,"11,986","5,111",42.6,783,6.5,123,10.3,123,10.3,123,10.3,119,9.9
